"","date","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Poland","Portugal","Romania","Slovakia","Slovenia","Sweden","United.Kingdom"
"405",2021-03-01,3.98474958445158,3.52668438680081,9.09994930028247,4.85741047032,1.1416841439481,20.8360720389115,1.10229257910801,7.3217493697257,0.61617432223996,6.83599898246431,6.29492838001247,3.56190473881588,13.3636816472242,7.56488263217135,6.80919634484991,7.96888281471358,6.19143191715363,4.5610479985144,4.25481046845463,4.32237561930182,7.79768430107309,9.14697901069973,4.93446688030127,24.1816182639836,6.05504904589727,3.89044772895114,8.34994920710143
"406",2021-03-02,3.8944436448606,3.41320196841365,9.82851666969284,4.68568383753091,1.02751572955329,21.3243441191384,1.01617597136519,7.3217493697257,0.634297096423489,6.58380866855109,6.13954266225097,3.50595859108578,13.824145409954,7.19785328613608,6.82079351624017,7.91679861331022,6.01248879816075,4.72394256988992,4.457420490762,4.19507673894755,7.84772010037076,8.43662851306028,5.06323689283523,24.3100487099987,6.24727282513211,3.8611227460696,7.66574851735511
"407",2021-03-03,3.78156122037189,3.28226071642847,9.55708961050074,4.41582770029091,0.799178900763672,22.019192848692,0.930059363622382,7.92560498784741,0.652419870607017,6.60171567308931,5.48427265866758,3.7577162558712,14.2539115885017,6.54535667096227,6.78434526329936,7.60429340489008,6.01248879816075,4.39815342713889,4.66003051306936,3.96941054195589,8.0373294450777,7.5997772418686,5.1404989003556,24.2366598837044,6.1992168803234,3.8611227460696,7.28913804997282
"408",2021-03-04,3.83800243261625,3.27353129962946,10.2856569799111,4.0478420586,0.570842071974052,22.4323461473455,0.947282685170944,8.22753279690826,0.706788193157602,6.63454518140937,5.19036478941327,3.83231111951132,14.7450729354135,6.402623036393,6.77109135313907,7.55220920348672,5.90512292676502,4.5610479985144,4.86264053537672,3.73795803222085,8.07683139189165,6.85050342929001,5.27957051389228,23.6495492733497,5.91088121147115,3.70472283736804,6.96954430673605
"409",2021-03-05,3.62352582608769,3.10767238044824,10.7142260207407,3.99877730637454,0.456673657579241,22.6483126443689,0.861166077428131,8.98235231956039,0.761156515708186,6.4360758811108,4.95186578075608,3.86960855133138,15.0827463614153,6.03559369035773,6.68659767586721,7.65637760629344,5.65460256017499,4.88683714126543,5.47047060229881,3.63959071558346,8.13476758055211,6.47100110863332,5.39288812492216,24.1265766442629,5.76671337704502,3.46034798002187,6.52391359433549
"410",2021-03-06,3.67996703833205,3.0814841300512,10.771368559518,4.0478420586,0.342505243184431,23.1084151815058,0.757826148136755,8.75590646276475,0.743033741524658,6.4554751360272,4.90007054150224,4.03744699452166,15.4818149557812,5.79090745966755,6.77937504698925,7.76054600910015,5.69039118397357,4.88683714126543,5.26786057999145,3.51807814797257,8.1163333387056,5.98445967189397,5.45469773093846,24.1265766442629,5.71865743223631,3.46034798002187,6.09328728302586
"411",2021-03-07,3.69125528078092,3.12513121404626,10.857082367684,3.94971255414909,0.342505243184431,23.5027887847659,0.706156183491067,8.90687036729518,0.743033741524658,6.41219987505985,4.86393432806933,4.29852901726209,16.1059991674815,5.83168849811592,6.73795657773834,7.96888281471358,5.61881393637642,4.88683714126543,6.0783006692209,3.59908652637983,8.20060415857535,5.62441900870685,5.42379292793031,24.4201319494402,5.52643365300148,3.46034798002187,5.89072786829833
"412",2021-03-08,3.78156122037189,3.22115479883539,11.8713624309807,3.92518017803636,0.456673657579241,23.9628913219028,0.65448621884538,9.5862079376821,0.743033741524658,6.45099838489265,4.66518515418834,4.43839438658732,16.7915785475458,5.81129797889173,6.81085308361995,7.96888281471358,5.65460256017499,5.701309998143,5.87569064691354,3.57594127540633,8.2401061053893,5.27410917425452,5.50620573595204,24.6586456348968,5.43032176338406,3.46034798002187,5.72117813597084
"413",2021-03-09,3.64610231098544,3.23861363243341,13.1999264575526,3.90064780192363,0.342505243184431,24.5075024883096,0.65448621884538,8.75590646276475,0.761156515708186,6.35698661106701,4.51582213866566,4.66217897750769,17.3543675908822,5.52583070975319,6.84398785902068,7.03136718945316,5.43987081738354,6.35288828364506,5.87569064691354,3.35606139115804,8.32964385150091,4.95299182600655,5.37228492291673,25.0622841795157,5.38226581857535,3.21597312267569,5.24553862138842
"414",2021-03-10,3.45420218935462,3.13386063084527,13.8999225575743,3.63079166468363,0.342505243184431,25.3807583241,0.637262897296817,9.05783427182561,0.706788193157602,6.4360758811108,4.44234517135208,4.80204434683292,18.1422722515532,5.34231603673556,6.86718220180119,7.23970399506658,5.40408219358496,6.67867742639609,5.87569064691354,3.17089938337001,8.39811389264509,4.68052862143252,5.5113565364534,25.1540202123836,5.0939301497231,2.88362331668489,4.86592727378795
