"","date","Spending_on_all_cards"
"1",2020-03-07,100
"2",2020-03-08,98.7921313292953
"3",2020-03-09,97.8423287789518
"4",2020-03-10,97.1502112718844
"5",2020-03-11,96.8990354128299
"6",2020-03-12,98.8004776045874
"7",2020-03-13,97.9199179957358
"8",2020-03-14,96.0892215193242
"9",2020-03-15,94.917233815422
"10",2020-03-16,95.0027363115815
"11",2020-03-17,87.8795432693129
"12",2020-03-18,85.4129238410493
"13",2020-03-19,79.7024900042487
"14",2020-03-20,75.5635331665934
"15",2020-03-21,73.3290718113906
"16",2020-03-22,70.6887166106072
"17",2020-03-23,67.7061678314447
"18",2020-03-24,72.5443810495917
"19",2020-03-25,72.1844764213864
"20",2020-03-26,71.719723465646
"21",2020-03-27,71.955805878346
"22",2020-03-28,70.6070908763724
"23",2020-03-29,69.8574817492132
"24",2020-03-30,68.3950724946513
"25",2020-03-31,66.736344876356
"26",2020-04-01,65.4414679575978
"27",2020-04-02,64.2799467550537
"28",2020-04-03,61.8115094296128
"29",2020-04-04,60.9476692427287
"30",2020-04-05,61.1710752930089
"31",2020-04-06,61.2358925961864
"32",2020-04-07,62.0842699546403
"33",2020-04-08,62.9410378410451
"34",2020-04-09,64.5935672188998
"35",2020-04-10,63.7518946493069
"36",2020-04-11,64.2092364042309
"37",2020-04-12,62.9572977450369
"38",2020-04-13,60.2438245459102
"39",2020-04-14,59.8186261989471
"40",2020-04-15,59.6612608360552
"41",2020-04-16,58.8187056365525
"42",2020-04-17,60.2516937135847
"43",2020-04-18,60.2574152193966
"44",2020-04-19,61.6221167237554
"45",2020-04-20,64.8463843759637
"46",2020-04-21,65.4501435773688
"47",2020-04-22,65.7051061689391
"48",2020-04-23,66.177404996732
"49",2020-04-24,67.4512087862275
"50",2020-04-25,68.1120017657337
"51",2020-04-26,68.804950906581
"52",2020-04-27,69.6233736912767
"53",2020-04-28,70.6179154863253
"54",2020-04-29,71.4226102846298
"55",2020-04-30,73.7564023652886
"56",2020-05-01,74.3809158934125
"57",2020-05-02,74.7913739769616
"58",2020-05-03,74.9029827195345
"59",2020-05-04,72.0439065213293
"60",2020-05-05,72.8084810475217
"61",2020-05-06,73.4932994226504
"62",2020-05-07,71.9813677654039
"63",2020-05-08,71.5371284225809
"64",2020-05-09,71.2804574859992
"65",2020-05-10,71.5607349234376
"66",2020-05-11,74.603674716122
"67",2020-05-12,73.750277612677
"68",2020-05-13,72.8128959006651
"69",2020-05-14,72.4053575261626
"70",2020-05-15,72.3005700563977
"71",2020-05-16,72.5063822611845
